 ,name,title,lead_source,industry,employees,country,converted
0,Julie Oconnell,Product Manager,Sign-up,Commercial & Professional Services,13955,BT,false
1,Jennifer Gregory,Product Manager,Demo Requested,Commercial & Professional Services,5080,VC,true
2,Paul Nunez,Analytics Manager,In-Person Event,Commercial & Professional Services,4080,MC,false
3,Jade Taylor,Analytics Engineer,Sign-up,Commercial & Professional Services,9180,LY,false
4,Jessica Jackson,Data Analyst,Webinar,Commercial & Professional Services,14130,KE,false
5,Annette Fuller,CFO,In-Person Event,Commercial & Professional Services,5830,JP,false
6,Ashley Nichols,VP Marketing,Demo Requested,Commercial & Professional Services,9480,MH,false
7,Matthew Delacruz,Data Engineer,Demo Requested,Commercial & Professional Services,6255,DK,false
8,Mr. Aaron Anderson MD,Product Manager,Demo Requested,Technology Hardware & Equipment,1430,GT,true
9,Jessica Payne,Data Engineer,Sign-up,Consumer Durables & Apparel,8055,GH,false
10,Jose Bonilla,VP Marketing,Sign-up,Commercial & Professional Services,14355,SO,false
11,Robert Knight,Foudner,Sign-up,Consumer Durables & Apparel,3530,SE,false
12,Robert Wood,CEO,In-Person Event,Software & Services,1630,MV,true
13,Scott Pearson,Solutions Architect,Demo Requested,Commercial & Professional Services,13730,GB,false
14,Jessica Bauer,Account Executive,Sign-up,Commercial & Professional Services,6730,SC,false
15,Jill Mack,Data Scientist,In-Person Event,Software & Services,5080,DE,false
16,Alexander Ferrell,VP Engineering,Webinar,Software & Services,12505,AM,true
17,Jonathan Brown,Data Scientist,Sign-up,Commercial & Professional Services,14505,BR,false
18,Mrs. Shari Dickerson,Software Engineer,Sign-up,Software & Services,14055,DM,false
19,Angela Wallace,CFO,Webinar,Consumer Staples,5130,LC,false
20,Thomas Scott,VP Marketing,In-Person Event,Software & Services,6330,GR,false
21,Dennis Smith,Product Manager,Sign-up,Consumer Staples,1505,GT,true
22,Lisa Gomez MD,VP Engineering,Sign-up,Consumer Staples,5480,SR,false
23,Jason Ibarra,VP Data,Sign-up,Software & Services,10405,ET,false
24,Kristen Lewis,Account Executive,Sign-up,Consumer Staples,2505,BH,false
25,Mary Ward,Product Manager,Sign-up,Software & Services,3580,NO,false
26,Kevin Brooks,Data Engineer,Sign-up,Technology Hardware & Equipment,14080,BZ,false
27,James Zhang,Data Engineer,Webinar,Technology Hardware & Equipment,4255,NE,false
28,Melissa Bishop,Foudner,Sign-up,Commercial & Professional Services,11630,JO,false
29,Angela Stephens,VP Data,Sign-up,Commercial & Professional Services,1480,TT,false
30,Angela French,Growth Marketing Manager,Demo Requested,Software & Services,13580,DJ,false
31,John Miller,Data Engineer,Demo Requested,Consumer Staples,6005,,false
32,Ian Sullivan,Growth Marketing Manager,Demo Requested,Software & Services,14930,TM,false
33,Katherine Reynolds,Analytics Engineer,Sign-up,Commercial & Professional Services,7680,PK,false
34,Lance Hall,VP Marketing,Demo Requested,Software & Services,2555,BN,true
35,Kevin Mcdonald,Owner,In-Person Event,Technology Hardware & Equipment,9455,JM,true
36,Jonathan Perkins,VP Engineering,Sign-up,Technology Hardware & Equipment,7655,HR,false
37,Christina Foster,Data Analyst,In-Person Event,Commercial & Professional Services,7205,UY,false
38,Virginia Paul DVM,Analytics Manager,Demo Requested,Commercial & Professional Services,1305,BW,true
39,Amanda Miles,Analytics Engineer,In-Person Event,Consumer Staples,6705,DK,false
40,Kelsey Singh,Solutions Architect,Sign-up,Consumer Durables & Apparel,3805,ST,true
41,Wendy Rodriguez,Account Executive,Sign-up,Commercial & Professional Services,1005,MK,true
42,Victoria Jones,Account Executive,Webinar,Consumer Staples,6055,DK,false
43,Jennifer Miller,Solutions Architect,Sign-up,Consumer Durables & Apparel,10530,SV,false
44,Bernard Carter,Data Analyst,Sign-up,Commercial & Professional Services,12030,GN,true
45,John Parks,Product Manager,Sign-up,Consumer Staples,10205,LS,false
46,Joseph Cruz,Owner,Demo Requested,Commercial & Professional Services,13730,LS,false
47,Ryan Wheeler,CEO,Demo Requested,Consumer Durables & Apparel,980,CD,false
48,Kathryn Shepherd,Account Executive,Demo Requested,Software & Services,9855,TR,false
49,Virginia Fernandez,VP Engineering,Webinar,Software & Services,5030,MM,false
50,Jacqueline Moore,Analytics Engineer,Demo Requested,Commercial & Professional Services,7680,SD,true
51,Karen Valdez,Data Scientist,Demo Requested,Commercial & Professional Services,9705,GD,false
52,Morgan Palmer,Foudner,Demo Requested,Commercial & Professional Services,7330,GE,false
53,Crystal Peterson,VP Marketing,Sign-up,Consumer Staples,13080,PY,false
54,Julie Harris,Data Engineer,Sign-up,Consumer Staples,8580,BW,false
55,Leslie Davis,Product Manager,In-Person Event,Commercial & Professional Services,1180,HN,true
56,Shannon Perry,CFO,In-Person Event,Commercial & Professional Services,10230,HN,true
57,Julie Gray,Data Analyst,In-Person Event,Commercial & Professional Services,13255,PL,false
58,Antonio Stewart,VP Marketing,Sign-up,Software & Services,13580,TJ,false
59,Andrew Greene,VP Engineering,Sign-up,Consumer Durables & Apparel,11405,DJ,false
60,Manuel Atkinson DDS,Product Manager,In-Person Event,Commercial & Professional Services,13330,RU,false
61,Diana Hall,Data Scientist,Sign-up,Commercial & Professional Services,13830,BR,false
62,Dana Webb,CFO,Sign-up,Software & Services,13880,PT,false
63,David Miller,Solutions Architect,In-Person Event,Consumer Staples,9730,QA,false
64,Christine Roberts,Account Executive,Demo Requested,Consumer Staples,5630,RU,false
65,Theresa Pennington,Analytics Engineer,Demo Requested,Consumer Staples,4230,PT,false
66,Renee Sparks,Foudner,Demo Requested,Consumer Staples,2130,BA,false
67,Tina Kelley,Analytics Manager,Sign-up,Commercial & Professional Services,8355,LU,false
68,Jessica Pugh,Account Executive,Sign-up,Commercial & Professional Services,480,AE,false
69,Jason Bryan,Data Engineer,In-Person Event,Consumer Staples,780,HU,false
70,Zachary Wheeler,Software Engineer,Sign-up,Commercial & Professional Services,5580,PT,true
71,Tina Schaefer,Data Analyst,In-Person Event,Commercial & Professional Services,7955,CD,false
72,Michael Parrish,Foudner,Sign-up,Consumer Staples,1930,UA,false
73,Nicole Williams,Data Scientist,In-Person Event,Consumer Staples,3080,TM,false
74,David Quinn,Owner,Sign-up,Consumer Staples,305,NL,false
75,Michael Tucker,VP Marketing,In-Person Event,Software & Services,13355,CF,false
76,Nicholas Mitchell,VP Data,Sign-up,Technology Hardware & Equipment,6855,LI,false
77,Gail Bush,VP Marketing,Sign-up,Software & Services,9705,LU,false
78,Kelly Hubbard,CFO,Sign-up,Commercial & Professional Services,7155,UG,false
79,Caroline Duran,CFO,Sign-up,Consumer Staples,12505,TH,false
80,Kayla George,VP Data,Sign-up,Commercial & Professional Services,7530,GN,false
81,Samantha Smith,Owner,Sign-up,Software & Services,10880,CH,false
82,Stephanie Moore,Data Scientist,Sign-up,Commercial & Professional Services,4930,KW,true
83,Brian Becker,CEO,Sign-up,Consumer Staples,7080,RS,false
84,Jennifer Adkins,Data Analyst,In-Person Event,Commercial & Professional Services,9230,EE,false
